Background	Bacteria	Rep	Length_cm
SC175	NB	Rep1	1.68475068493151
SC175	NB	Rep1	1.54834931506849
SC175	NB	Rep1	0.986301369863014
SC175	NB	Rep1	1.51375890410959
SC175	NB	Rep1	1.57018767123288
SC175	NB	Rep1	1.78626575342466
SC175	NB	Rep1	0.986301369863014
SC175	NB	Rep1	0.781471232876712
SC175	NB	Rep1	1.71085479452055
SC175	NB	Rep1	1.6556301369863
SC175	NB	Rep1	0.762571232876712
SC175	NB	Rep1	1.02129863013699
SC175	Variovorax CL14	Rep1	1.54660273972603
SC175	Variovorax CL14	Rep1	4.01715205479452
SC175	Variovorax CL14	Rep1	3.18072739726027
SC175	Variovorax CL14	Rep1	3.86912876712329
SC175	Variovorax CL14	Rep1	2.3363301369863
SC175	Variovorax CL14	Rep1	3.61643835616438
SC175	Variovorax CL14	Rep1	3.66719178082192
SC175	Variovorax CL14	Rep1	4.89962465753425
SC175	Variovorax CL14	Rep1	3.16710410958904
SC175	10 Variovorax	Rep1	2.56459315068493
SC175	10 Variovorax	Rep1	3.61778219178082
SC175	10 Variovorax	Rep1	2.17210273972603
SC175	10 Variovorax	Rep1	2.99629315068493
SC175	10 Variovorax	Rep1	3.26821643835616
SC175	10 Variovorax	Rep1	2.36712328767123
SC175	10 Variovorax	Rep1	2.13724109589041
SC175	10 Variovorax	Rep1	3.05470684931507
SC175	10 Variovorax	Rep1	4.23752465753425
SC175	10 Variovorax	Rep1	4.45039315068493
SC175	10 Variovorax	Rep1	3.89072054794521
SC175	10 Variovorax	Rep1	4.94037534246575
SC175	10 Variovorax	Rep1	2.84283698630137
SC175	Variovorax CL14 Delta6869	Rep1	0.526027397260274
SC175	Variovorax CL14 Delta6869	Rep1	1.11780821917808
SC175	Variovorax CL14 Delta6869	Rep1	1.16746849315068
SC175	Variovorax CL14 Delta6869	Rep1	0.799923287671233
SC175	Variovorax CL14 Delta6869	Rep1	1.0541095890411
SC175	Variovorax CL14 Delta6869	Rep1	1.19084383561644
SC175	Variovorax CL14 Delta6869	Rep1	1.02394109589041
SC175	Variovorax CL14 Delta6869	Rep1	0.821917808219178
SC175	Variovorax CL14 Delta6869	Rep1	0.69041095890411
SC175	Variovorax CL14 Delta6869	Rep1	0.824543835616438
SC175	Variovorax CL14 Delta6869	Rep1	0.893132876712329
SC175	Variovorax CL14 Delta6869	Rep1	0.890104109589041
SC175	Variovorax CL14 Delta6869	Rep1	0.860465753424657
SC175	Variovorax CL14 Delta6869	Rep1	1.12215205479452
SC175	Variovorax CL14 Delta6869	Rep1	0.759016438356164
SC175	Pseudomonas 1290	Rep1	2.43642739726027
SC175	Pseudomonas 1290	Rep1	2.5974698630137
SC175	Pseudomonas 1290	Rep1	2.20886301369863
SC175	Pseudomonas 1290	Rep1	1.61229863013699
SC175	Pseudomonas 1290	Rep1	1.45142465753425
SC175	Pseudomonas 1290	Rep1	1.42322465753425
SC175	Pseudomonas 1290	Rep1	1.41408082191781
SC175	Pseudomonas 1290	Rep1	0.658356164383562
SC175	Pseudomonas 1290	Rep1	0.921135616438356
SC175	Pseudomonas 1290	Rep1	1.44694931506849
SC175	Pseudomonas 1290	Rep1	1.23801780821918
SC175	Pseudomonas 1290	Rep1	1.42436301369863
SC175	Pseudomonas 1290	Rep1	1.07038767123288
SC175	Pseudomonas 1290	Rep1	0.686486301369863
SC175	Pseudomonas 562	Rep1	1.38082191780822
SC175	Pseudomonas 562	Rep1	1.12551780821918
SC175	Pseudomonas 562	Rep1	1.48273561643836
SC175	Pseudomonas 562	Rep1	1.65986712328767
SC175	Pseudomonas 562	Rep1	1.12982876712329
SC175	Pseudomonas 562	Rep1	1.08692054794521
SC175	Pseudomonas 562	Rep1	1.6796095890411
SC175	Pseudomonas 562	Rep1	1.87656575342466
SC175	Pseudomonas 562	Rep1	1.94000547945205
SC175	Pseudomonas 562	Rep1	1.0566698630137
SC175	Pseudomonas 562	Rep1	1.59070273972603
SC175	Pseudomonas 562	Rep1	1.7146397260274
SC175	Pseudomonas 562	Rep1	1.62664931506849
SC175	Pseudomonas 562	Rep1	0.941445205479452
SC175	Pseudomonas 562	Rep1	1.0566698630137
SC175	Pseudomonas 562	Rep1	1.45588356164384
SC175	Pseudomonas 562	Rep1	1.07038767123288
SC175	Pseudomonas 562	Rep1	0.624657534246575
SC175	Bradyrhizobium japonicum	Rep1	2.4110095890411
SC175	Bradyrhizobium japonicum	Rep1	3.09198493150685
SC175	Bradyrhizobium japonicum	Rep1	2.56438356164384
SC175	Bradyrhizobium japonicum	Rep1	2.24743150684932
SC175	Bradyrhizobium japonicum	Rep1	3.28783561643836
SC175	Bradyrhizobium japonicum	Rep1	3.1234602739726
SC175	Bradyrhizobium japonicum	Rep1	2.39458767123288
SC175	Bradyrhizobium japonicum	Rep1	3.09198493150685
SC175	Bradyrhizobium japonicum	Rep1	2.55720821917808
SC175	Bradyrhizobium japonicum	Rep1	2.96783835616438
SC175	Bradyrhizobium japonicum	Rep1	2.54194520547945
SC175	Bradyrhizobium japonicum	Rep1	2.13724109589041
SC175	Bradyrhizobium japonicum	Rep1	2.86706712328767
SC175	Bradyrhizobium japonicum	Rep1	2.35292465753425
SC175	Bradyrhizobium japonicum	Rep1	3.52026575342466
SC175	Bradyrhizobium japonicum	Rep1	2.14934383561644
SC175	Bradyrhizobium japonicum	Rep1	2.94664109589041
SC175	Enterobacter soli	Rep1	0.857317808219178
SC175	Enterobacter soli	Rep1	1.38706849315068
SC175	Enterobacter soli	Rep1	1.29268767123288
SC175	Enterobacter soli	Rep1	1.32162739726027
SC175	Enterobacter soli	Rep1	0.988491780821918
SC175	Enterobacter soli	Rep1	0.988491780821918
SC175	Enterobacter soli	Rep1	1.21643835616438
SC175	Enterobacter soli	Rep1	1.35793150684931
SC175	Enterobacter soli	Rep1	1.09287123287671
SC175	Enterobacter soli	Rep1	1.44433150684932
SC175	Enterobacter soli	Rep1	1.31383561643836
SC175	Enterobacter soli	Rep1	1.15490547945205
SC175	Enterobacter soli	Rep1	0.986847945205479
SC175	Enterobacter soli	Rep1	0.821917808219178
SC175	Enterobacter soli	Rep1	1.34834794520548
SC175	Enterobacter soli	Rep1	1.88805205479452
SC175	Parabukholderia PsJN	Rep1	0.887671232876712
SC175	Parabukholderia PsJN	Rep1	1.31876301369863
SC175	Parabukholderia PsJN	Rep1	1.46771506849315
SC175	Parabukholderia PsJN	Rep1	1.67671232876712
SC175	Parabukholderia PsJN	Rep1	0.962449315068493
SC175	Parabukholderia PsJN	Rep1	1.64515068493151
SC175	Parabukholderia PsJN	Rep1	1.91392191780822
SC175	Parabukholderia PsJN	Rep1	1.84373424657534
SC175	Parabukholderia PsJN	Rep1	1.99981232876712
SC175	Parabukholderia PsJN	Rep1	1.41942328767123
SC175	Parabukholderia PsJN	Rep1	1.31876301369863
SC175	Parabukholderia PsJN	Rep1	0.921135616438356
SC175	Parabukholderia PsJN	Rep1	1.58355205479452
SC175	Parabukholderia PsJN	Rep1	1.67639178082192
SC175	Parabukholderia PsJN	Rep1	1.25190821917808
SC175	Parabukholderia PsJN	Rep1	1.19988904109589
